# id	left	top	right	bottom	texture_id
[SPRITES]
# white
81110	169	0	184	15	30
81120	186	0	201	15	30
81130	203	0	218	15	30

81210	169	17	184	32	30
81220	186	17	201	32	30
81230	203	17	218	32	30

81310	169	34	184	49	30	
81320	186	34	201	49	30
81330	203	34	218	49	30

# green
82110	220	0	235	15	30
82120	237	0	252	15	30
82130	254	0	269	15	30

82210	220	17	235	32	30
82220	237	17	252	32	30
82230	254	17	269	32	30

82310	220	34	235	49	30
82320	237	34	252	49	30
82330	254	34	269	49	30

# pink
83110	169	51	184	66	30
83120	186	51	201	66	30
83130	203	51	218	66	30

83210	169	68	184	83	30
83220	186	68	201	83	30
83230	203	68	218	83	30

83310	169	85	184	100	30
83320	186	85	201	100	30
83330	203	85	218	100	30

# blue
84110	220	51	235	66	30
84120	237	51	252	66	30
84130	254	51	269	66	30

84210	220	68	235	83	30
84220	237	68	252	83	30
84230	254	68	269	83	30

84310	220	85	235	100	30
84320	237	85	252	100	30
84330	254	85	269	100	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
