# id	left	top	right	bottom	texture_id
[SPRITES]
#PANEL
170001	3	3	154	30	70

#P BADGE WHITE
170011	12	33	27	40	70
170012	104	10	119	17	70
#TRIANGLE
170021	3	33	10	40	70

# NUMBERS
171000	33	32	40	39	70
171001	43	32	50	39	70
171002	53	32	60	39	70
171003	63	32	70	39	70
171004	73	32	80	39	70
171005	83	32	90	39	70
171006	93	32	100	39	70
171007	103	32	110	39	70
171008	113	32	120	39	70
171009	123	32	130	39	70

# ALPHABET
172000	133	32	140	39	70
172001	143	32	150	39	70
172002	33	42	40	49	70
172003	43	42	50	49	70
172004	53	42	60	49	70
172005	63	42	70	49	70
172006	73	42	80	49	70
172007	83	42	90	49	70
172008	93	42	100	49	70
172009	103	42	110	49	70
172010	113	42	120	49	70
172011	123	42	130	49	70
172012	133	42	140	49	70
172013	143	42	150	49	70
172014	33	52	40	59	70
172015	43	52	50	59	70
172016	53	52	60	59	70
172017	63	52	70	59	70
172018	73	52	80	59	70
172019	83	52	90	59	70
172020	93	52	100	59	70
172021	103	52	110	59	70
172022	113	52	120	59	70
172023	123	52	130	59	70
172024	133	52	140	59	70
172025	143	52	150	59	70

###CARD
#BLANK
173000	163	33	186	60	70
#MUSHROOM
173001	187	33	210	60	70
#FLOWER
173002	211	33	234	60	70
#STAR
173003	235	33	258	60	70

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
17000	170011	200	170012	200
